code       product_name                              
SP003063   H&S SHAMPOO CM 180ML                      
SP003064   H&S SHAMPOO COOL 500ML                    
SP003065   H&S SHAMPOO HF 180ML                      
SP003066   H&S SHAMPOO LF 180ML                      
SP003067   H&S SHAMPOO S&S 500ML                     
SP003068   H&S SHAMPOO SB 180ML                      
SP003069   H&S SHAMPOO SS 180ML                      
SP003070   HALDI POWDER 100G                         
SP003071   HALDI POWDER 200G                         
SP003072   HALDIRAM AGRA PETHA 200G                  
SP003076   HALDIRAM NAMKEEN RS10                     
SP003077   HALDIRAM RATLAMI SEV 200G                 
SP003078   HALDIRAM SOAN CAKE 200G                   
SP003079   HALDIRAM'S ALL IN ONE 200G                
SP003081   HALDIRAM'S BHUJIA SEV 200G                
SP003082   HALDIRAM'S BHUJIA SEV 400G                
SP003085   HALDIRAM'S GOL KACHORI 200G               
SP003091   HALDIRAM'S MOONG DAL 400G                 
SP003099   HALDIRAM'S TASTY NUT 400G                 
SP003100   HAMAM SOAP NEEM 150G                      
SP003101   HANDLE WASHING BRUSH RS45                 
SP003102   HAPPYDENT WHITE GUM RS10                  
SP003103   HARPIC FLUS CITRUS 2U*50G                 
SP003106   HERSHEY'S SYRUP 180GM                     
SP003107   HEXEL SUPER PENCIL MRP50                  
SP003108   HIDE&SEEK CHOCOCHIP RS10                  
SP003112   HIMALAYA BABY GIFT PACK RS269             
SP003113   HIMALAYA BABY SOAP 125G*2                 
SP003114   HIMALAYA NEEM GEL 100ML                   
SP003115   HIMALAYA TP CC 150G*2                     
SP003116   HIMALAYA TP CC 150GM                      
SP003117   HIMALAYA TP S WHITE 150GM                 
SP003118   HOME ONE TOILET BRUSH RS140               
SP003119   HOMEONE BOTTLE COLOR                      
SP003120   HOMEONE BOTTLE PLAIN                      
SP003121   HORLICKS BISCUITS RS10                    
SP003122   HORLICKS CHOCOLATE 500G                   
SP003123   HUGGIES PANTS M 52N                       
SP003124   HUGGIES PANTS S 64                        
SP003125   HUGGIES PANTS XL 38                       
SP003126   HUMIDIFIER AIR FRESHNER                   
SP003127   INDIAN LEGEND NOTEBOOK                    
SP003128   IODEX 16G                                 
SP003129   JALA BRUSH                                
SP003131   JANMAY GROUNDNUT OIL 910G                 
SP003132   JAORA GOLD CHAKKI AATA 30KG               
SP003135   JEERA 100G                                
SP003136   JEERA 200G                                
SP003137   JEERA 500G                                
SP003139   JINRUIXIN ROUND COMB 1N                   
SP003140   JK EASY COPIER 70GSM                      
SP003145   JOWAR AATA 500G                           
SP003146   JOY CREAM H&A 50ML                        
SP003147   JOY CREAM SKIN FRUITS 50ML                
SP003152   JUMBO NOTE BOOK COVER                     
SP003153   JUMBO SANITARY PADS 40N                   
SP003154   KABULI CHANA 250G                         
SP003155   KABULI CHANA LOOSE                        
SP003156   KAJU LOOSE                                
SP003157   KAJU TUKADI                               
SP003158   KAJU TUKDI 100G                           
SP003159   KAJU W 320N 100G                          
SP003160   KAJU W 320N LOOSE                         
SP003161   KAJU W320 200GM                           
SP003162   KALA CHANA DESI 500G                      
SP003163   KALIMIRCH LOOSE                           
SP003164   KALONJI 50G                               
SP003165   KAMAL GATTA 25G                           
SP003166   KAMAL GATTA LOOSE                         
SP003170   KASHMIRI GOLD TEA 250G                    
SP003171   KASHNI UBTAN POWDER 200G                  
SP003177   KELLOGG'S MUESLI SF 400G                  
SP003178   KELLOGG'S MUSESLI F&S 65G                 
SP003179   KELLOGGS MUESLI F&N 750GM                 
SP003180   KELLOGGS MUESLI MULTIGRAIN 1KG            
SP003181   KESAR CHANDAN ASHTGANDH 25G               
SP003182   KESAR CHANDAN ASHTGANDH 50G               
SP003184   KESH KANTI SHAMPOO MP 450ML               
SP003185   KESH KANTI SHAMPOO RS1                    
SP003186   KESH KING OIL GOLD 100ML                  
SP003188   KHAJUR 500G                               
SP003189   KHARAK 250GM                              
SP003190   KHARI 250G                                
SP003193   KHUSHBU TEA 500G                          
SP003194   KISHMISH SP 100G                          
SP003195   KISHMISH SP 250G                          
SP003196   KISSAN MF JAM 200GM                       
SP003200   KIWI SHOE SPOUNGE                         
SP003202   KNIFE RS10                                
SP003203   KNOOR MANCHOW VEG SOUP RS10               
SP003204   KOHINOOR BASMATI RICE DUBAR 5KG           
SP003205   KOHINOOR BASMATI RICE TIBAR 1KG           
SP003206   KOHINOOR BASMATI RICE TIBAR 5KG           
SP003207   KOHINOOR ROZANA RICE 1KG                  
SP003208   KOHINOOR SUPER BASAMATI RICE 1KG          
SP003209   KOKRON CHALC RS20                         
SP003211   KORES PENCIL 10N                          
SP003212   KRITI GROUNDNUT OIL 4.5L                  
SP003213   KRITI SUNFLOWER OIL 4.5L                  
SP003214   LA'BOLIA FLORAL TALC 100G                 
SP003215   LA'BOLIA FLORAL TALC 400G                 
SP003216   LA'BOLIA FRUTINA BODY LOTION 650ML        
SP003217   LA'BOLIA H&A BODY LOTION 650ML            
SP003218   LAL QUILA POHA 1KG                        
SP003219   LALKILA MUSTARD OIL 100ML                 
SP003224   LION LAYINA DATES 250G                    
SP003225   LION OATS 500G                            
SP003226   LION SULTAN DATES 500GM                   
SP003227   LIPTON GREEN TEA C&L 10N                  
SP003228   LIPTON GREEN TEA HL 10N                   
SP003229   LIZOL BC FLORAL 500ML                     
SP003230   LIZOL BC PINE FOREST 200ML                
SP003231   LIZOL JASMINE 500ML                       
SP003232   LIZOL LAVENDR 500ML                       
SP003234   LOCK 25MM                                 
SP003235   LOCK 38MM                                 
SP003236   LOCK 42MM                                 
SP003238   LONG 100G                                 
SP003239   LONG 10G                                  
SP003240   LONG 20G                                  
SP003241   LOOFA HANDLE                              
SP003242   LOOFA RS10                                
SP003243   LOREAL COND. 6OIL 70ML                    
SP003244   LOREAL COND. CL 175ML                     
SP003245   LOREAL COND. CL 70ML                      
SP003246   LOREAL COND. CP 175ML                     
SP003247   LOREAL COND. GLYCOLIC 70ML                
SP003250   LOREAL COND. HM 70ML                      
SP003251   LOREAL SHAMPOO CL 200ML                   
SP003252   LOREAL SHAMPOO CL 80ML                    
SP003253   LOREAL SHAMPOO CP 200ML                   
SP003255   LOREAL SHAMPOO HF 200ML                   
SP003256   LOREAL SHAMPOO HM 200ML                   
SP003257   LOREAL SHAMPOO HM 80ML                    
SP003258   LOREAL SHAMPOO OIL 200ML                  
SP003259   LOREAL SHAMPOO OIL 80ML                   
SP003262   LOTTE LOLLY POP RS5                       
SP003263   LOTUS BISCOFF 250G                        
SP003264   LOTUS CHUCKLESS WAFERS RS5                
SP003265   LOTUS ON&ON CHOCOLATE RS5                 
SP003267   LUXAR MARKER INK RS25                     
SP003268   MADHUBANI MAKHANA 100G                    
SP003269   MAGGI PAZZTA CHEESE RS35                  
SP003270   MAIDA 500G                                
SP003271   MAKKA AATA 1KG                            
SP003272   MALA'S PINEAPPLE CRUSH 750ML              
SP003273   MAMAEARHT FW RICE 100ML                   
SP003274   MAMAEARTH FW VITAMIN-C 100ML              
SP003278   MAMRA ALMOND 100G                         
SP003279   MAMY POKO PANTS L 6                       
SP003280   MAMY POKO PANTS M 7                       
SP003282   MAMY POKO PANTS XL 5                      
SP003283   MANGALAM CAMPHOR 50G                      
SP003284   MANGLAM KAPOOR DANI 1N                    
SP003293   MASUR DAL KHADA 1KG                       
SP003294   MASUR DAL LOOSE                           
SP003295   MB DARK MUSESLI 400G                      
SP003296   MB PROTEIN OATS 400G                      
SP003297   MCCAIN VEGGIE NUGGETS 325G                
SP003298   MCVITIES BISCUITS RS10                    
SP003299   MECHANICAL PENCIL RS10                    
SP003300   MEDIMIX SOAP AYURVEDIC 3N*125G            
SP003301   MENTOS JAR RS150                          
SP003303   METHI DANA 500GM                          
SP003304   MILTON BUCKET 20L                         
SP003305   MILTON DUSTBIN                            
SP003306   SAFAL GREEN CHILLY PICKLE 400G            
SP003307   SAFAL LIME PICKLE 400G                    
SP003308   SAFAL MAIDA 500G                          
SP003309   SAFAL MANGO PICKLE 400G                   
